time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
5.000000000000000000e-01,3.500000000000000000e+01,3.409946433854099723e+01,6.312182913807973250e-04,5.005500993043271230e+00,1.867878957366752388e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867878957366752388e+02,2.938337757788303861e+00,3.280967321427500583e+00,8.240858720234006896e+00
5.100000000000000089e-01,3.498272961280060400e+01,3.422229036718382389e+01,5.509791200388747257e-04,5.037993069084008013e+00,1.868119998477451418e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868119998477451418e+02,2.921921172736062999e+00,3.287247851880736427e+00,8.246616589868416725e+00
5.200000000000000178e-01,3.493093549498949812e+01,3.431050527294796382e+01,-9.606840460318899488e-05,5.061416352473727898e+00,1.868294223338745326e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868294223338745326e+02,2.909890644301981411e+00,3.291736873396517993e+00,8.250676949082004441e+00
5.300000000000000266e-01,3.484466876110779765e+01,3.436405615046185602e+01,-1.429072371076367531e-03,5.033854516671684820e+00,1.868525396206264304e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868525396206264304e+02,2.898907340628227303e+00,3.294451883689285321e+00,8.253084716339909477e+00
5.400000000000000355e-01,3.472401454600672110e+01,3.438301930369694048e+01,-1.156086474021100763e-03,5.022453117240895715e+00,1.868548618080672554e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868548618080672554e+02,2.886216373665263291e+00,3.295409816312975249e+00,8.253931163968019291e+00
5.500000000000000444e-01,3.456909192082981264e+01,3.436749201249891428e+01,-1.538612870787825493e-03,5.009538703716089003e+00,1.868514431157624074e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868514431157624074e+02,2.872207653281577677e+00,3.294630320521602318e+00,8.253234371785000079e+00
5.600000000000000533e-01,3.438005377550410202e+01,3.431756490059892428e+01,-2.103557716481962991e-03,4.991037298674756428e+00,1.868417301876304464e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868417301876304464e+02,2.857411451768371080e+00,3.292134950014847572e+00,8.250991110789414051e+00
5.700000000000000622e-01,3.415708666785615577e+01,3.423334131422336668e+01,-2.536407282427544096e-03,4.966713159776144693e+00,1.868260825927146129e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868260825927146129e+02,2.841917551319170343e+00,3.287947274996660507e+00,8.247188435185830002e+00
5.799999999999999600e-01,3.390041063950209121e+01,3.411494193404869435e+01,-3.026850404743264278e-03,4.935643377576544033e+00,1.868048212219102879e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.868048212219102879e+02,2.825981720024344668e+00,3.282092587911097148e+00,8.241805616738446361e+00
5.899999999999999689e-01,3.361027899869300484e+01,3.396250763275941864e+01,-3.454649452256208786e-03,4.897560441782859542e+00,1.867776141494185254e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867776141494185254e+02,2.809804797486151529e+00,3.274597481658436227e+00,8.234815484110733053e+00
5.999999999999999778e-01,3.328697807033037748e+01,3.377620279626658828e+01,-3.874589464402979078e-03,4.851976115639510034e+00,1.867446398334451487e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867446398334451487e+02,2.793596490216771144e+00,3.265489509262776036e+00,8.226183738989472971e+00
6.099999999999999867e-01,3.293082691339789392e+01,3.355621769152796219e+01,-5.086844201587004122e-03,4.805834900598981996e+00,1.867072056120697425e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867072056120697425e+02,2.777531884886570879e+00,3.254796828856717728e+00,8.215869172664460152e+00
6.199999999999999956e-01,3.254217700608879937e+01,3.330257741944797090e+01,6.597149744217600809e-03,4.937896041012455939e+00,1.866624363407844669e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.866624363407844669e+02,2.781682476965158912e+00,3.242505573334874658e+00,8.203832862890827471e+00
6.300000000000000044e-01,3.212141189893934268e+01,3.301477745980733403e+01,-2.048731668176650977e-04,4.915878092879495398e+00,1.865956944791803096e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.865956944791803096e+02,2.819075388982184904e+00,3.228441916751044527e+00,8.189857587748027967e+00
6.400000000000000133e-01,3.166894683631067764e+01,3.269273890287693263e+01,1.314506307683704911e-03,4.808616237242201663e+00,1.865252203726473965e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.865252203726473965e+02,2.871179530769779831e+00,3.212444464020571377e+00,8.173748038130328908e+00
6.500000000000000222e-01,3.118522834659287213e+01,3.233684456383490868e+01,5.014050320960028451e-04,4.687986690256694011e+00,1.864512368441022261e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.864512368441022261e+02,2.929268898671296029e+00,3.194420224461388180e+00,8.155433402616187877e+00
6.600000000000000311e-01,3.067073380153522066e+01,3.194760017983304579e+01,6.407949528671741390e-04,4.562887025862167434e+00,1.863811452038558798e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863811452038558798e+02,2.991801003084333388e+00,3.174296262845709204e+00,8.134864696021018915e+00
6.700000000000000400e-01,3.012597094513802531e+01,3.152552675635916302e+01,5.198956253258946170e-04,4.435556402240143470e+00,1.863109860620074301e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863109860620074301e+02,3.058386289749535081e+00,3.151998760126499821e+00,8.111995357988540434e+00
6.800000000000000488e-01,2.955147739257052208e+01,3.107114928436435619e+01,5.016712446207494125e-04,4.304342450436014822e+00,1.862405645200617528e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.862405645200617528e+02,3.129062437796420681e+00,3.127449749941208168e+00,8.086770035004747115e+00
6.900000000000000577e-01,2.894782009960966107e+01,3.058499784693862722e+01,4.650807462006634196e-04,4.168222800574387321e+00,1.861687424343103032e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.861687424343103032e+02,3.203851648637140670e+00,3.100566158246496951e+00,8.059125346130542766e+00
7.000000000000000666e-01,2.831559480312315813e+01,3.006761390358343533e+01,4.392335065433461416e-04,4.026213232306570688e+00,1.860956659785455258e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860956659785455258e+02,3.282756451522686802e+00,3.071260670026101369e+00,8.028990233714189628e+00
