time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
0.000000000000000000e+00,0.000000000000000000e+00,-6.534508649838288625e-18,4.470349336238159668e-16,2.567341924892508700e-15,1.888523100000000170e+02,1.133006758469231414e+02,3.777581707653844489e+01,3.777581707653845200e+01,3.058650464505828566e-16,-9.513959070532907471e-37,5.000410063020101603e+00
1.000000000000000021e-02,1.099376567734490218e+00,5.662365805280658061e-03,6.940930589959138503e-04,-7.421212215646273869e+00,1.970899132277228887e+02,2.655791930290332559e+00,0.000000000000000000e+00,1.944341212974325686e+02,8.751034253343396685e+00,7.119931286108166155e-04,5.000734200132501250e+00
2.000000000000000042e-02,2.197668183525967933e+00,1.029791456786265380e-01,-1.570203325641351261e-02,-1.734386572754875289e+01,2.168080528293694726e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.168080528293694726e+02,1.166591732496938860e+01,1.963407278301778844e-02,5.017619803818672786e+00
2.999999999999999889e-02,3.293790966148000710e+00,4.017849852941560163e-01,1.676195202817366489e-02,-1.709527352468300165e+01,2.137019506139178588e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.137019506139178588e+02,1.127953611992804284e+01,7.984216392691272091e-02,5.075964716226811113e+00
4.000000000000000083e-02,4.386663174750649041e+00,8.952837798258879154e-01,-4.519489334637298572e-03,-1.647393028605905840e+01,2.074582259751532263e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.074582259751532263e+02,1.038031957979810826e+01,1.728214620936004142e-01,5.167335290810547654e+00
5.000000000000000278e-02,5.475206276408079553e+00,1.542960047300079740e+00,-1.066511453788051428e-02,-1.201888243972164894e+01,2.026626215965258950e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.026626215965258950e+02,9.513939635506638126e+00,2.849339721737257913e-01,5.278048726757234910e+00
5.999999999999999778e-02,6.558346010500360812e+00,2.307749131249501762e+00,-9.651543794361944553e-04,-9.314879805517618294e+00,1.983778748671135759e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.983778748671135759e+02,8.774495588600132123e+00,4.065624677717019630e-01,5.398565181924341871e+00
7.000000000000000666e-02,7.635013448878988918e+00,3.158460497747464402e+00,-3.338615661787136882e-04,-7.451849378061109697e+00,1.951194057152184769e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.951194057152184769e+02,8.196321913781119406e+00,5.322094170911336741e-01,5.523364732083315687e+00
8.000000000000000167e-02,8.704146050769917764e+00,4.071051381565484739e+00,-8.076565889925417172e-05,-6.027187501509047252e+00,1.926912650307741046e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.926912650307741046e+02,7.739269602863089403e+00,6.588572709258001536e-01,5.649386556373186430e+00
8.999999999999999667e-02,9.764688711373024077e+00,5.027494818498671414e+00,-3.154750245616851079e-05,-4.910076738477133773e+00,1.908762371365467345e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.908762371365467345e+02,7.370178694271800168e+00,7.847676589134139347e-01,5.774846194821734890e+00
