time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
1.400000000000000133e-01,1.490227520477754375e+01,1.009078463806101489e+01,5.795606061098287909e-06,-1.741828566981483917e+00,1.866704365770614515e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.866704365770614515e+02,6.212305786304455069e+00,1.374834482075114828e+00,6.367705254349592892e+00
1.499999999999999944e-01,1.588966749088413799e+01,1.111380291709695456e+01,3.030784442888470598e-06,-1.347322043822667403e+00,1.863246129536041735e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863246129536041735e+02,6.048999512625272246e+00,1.484263028204425572e+00,6.477103990894634400e+00
1.600000000000000033e-01,1.686137859356003688e+01,1.213113660226131429e+01,-1.225946409218886535e-06,-9.910954462577576951e-01,1.860590879232497059e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860590879232497059e+02,5.895800940460418360e+00,1.590279552282242381e+00,6.583091540651387241e+00
1.700000000000000122e-01,1.781644955126299479e+01,1.314024410237339957e+01,-6.215909192532412253e-06,-6.636968601012063207e-01,1.858554446260625070e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858554446260625070e+02,5.750260996441028283e+00,1.692812379109234655e+00,6.685589487857481750e+00
1.799999999999999933e-01,1.875393782426488087e+01,1.413898738264952648e+01,-1.109489921258949297e-05,-3.581192463609623733e-01,1.857000909315080435e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.857000909315080435e+02,5.610641042396395051e+00,1.791809848511811909e+00,6.784539743642232779e+00
1.900000000000000022e-01,1.967291822482456709e+01,1.512553115915422275e+01,-1.511117970168923685e-05,-6.922206318397183811e-02,1.855829717876755751e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855829717876755751e+02,5.475727785064066211e+00,1.887236785886025281e+00,6.879900888394092640e+00
2.000000000000000111e-01,2.057248383023655691e+01,1.609826858343502565e+01,-1.759139796953662627e-05,2.067157404274403421e-01,1.854966174740167446e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854966174740167446e+02,5.344695816608862060e+00,1.979072321358172237e+00,6.971645912506416742e+00
2.099999999999999922e-01,2.145174687785417333e+01,1.705576652985503827e+01,-1.798237240327807407e-05,4.723397403330737987e-01,1.854354417140784506e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854354417140784506e+02,5.217005408362297203e+00,2.067308452104494432e+00,7.059760744101406971e+00
2.200000000000000011e-01,2.230983964120413532e+01,1.799672538594085580e+01,-1.585329591635015190e-05,7.294837250995458433e-01,1.853952253618074053e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853952253618074053e+02,5.092326465927612844e+00,2.151949000354891783e+00,7.144243210603742789e+00
2.300000000000000100e-01,2.314591528632781348e+01,1.891994957020901680e+01,-1.089072816854580461e-05,9.793714640272510596e-01,1.853727376993525979e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853727376993525979e+02,4.970481866174623065e+00,2.233008768181990344e+00,7.225102230384403690e+00
