index,time_s,phase,yaw_unwrapped_deg,dynamic_valid,front_cross,palm_tail_distance_m,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,-0.3,approach_pose_goal,0.0,False,False,1.1486621647184678,-0.7424999999999999,0.0,0.0,1.35,-0.7910617137371172,0.0,-0.7424999999999999,0.0,0.0,1.35,-0.7910617137371172,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
1,-0.15,approach_pose_goal,0.0,False,False,1.025437789417187,-1.1819137109277669,0.0,0.0,1.7,-0.8,0.0,-1.1819137109277669,0.0,0.0,1.7,-0.8,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
2,-0.05,approach_pose_goal,0.0,False,False,1.0872701822820474,-1.0091513509314411,0.0,0.0,1.5,-0.8,0.0,-1.0091513509314411,0.0,0.0,1.5,-0.8,0.0,0.0,0.0,0.0,-0.25,1.1,0.0,0.3,0.0,0.0,0.0,-0.25,-1.1,0.0,0.3,0.0,0.0,0.0
3,0.0,takeoff_air_reset,2.4856375530277556e-17,True,True,0.00014334767522841,-0.9288433899466975,-0.22354006507326707,1.0163325897590432,1.7439272811991566,-0.8476677482170691,0.23679993863989193,-2.4158436082148973,-0.2853313619847499,0.371424167716622,2.634899148511103,0.2753741239586453,-0.01843496813130415,-0.33387779472310175,0.24986412559778798,0.39999998673100706,0.0,0.3,0.0,0.6,0.0,0.0,0.0,-0.1102636725932283,-0.30003051066027636,-0.21182743511991473,1.8215677356306756,-0.09032286951252583,0.9768693163723136,0.8766596910146001
4,0.05,cross_tail_touch,28.886459519643296,True,True,0.0037921051114921784,-0.9285182725586506,-0.22319639156888346,1.0151670966810886,1.7438667046408762,-0.8476540580519972,0.23680215351667466,-2.415593296950787,-0.28584002178756207,0.37156791364409664,2.634715728794181,0.27502495025621,-0.018415386801099824,-0.33398345075545266,0.24960576518443034,0.39962091132469807,7.175895183132459e-06,0.3000024290195603,1.809094095891479e-06,0.6000049978596379,1.945451993236996e-08,1.3502688297607628e-06,3.246314222262503e-07,-0.11027972392435105,-0.30099971329873504,-0.21197977499760673,1.8215687968281946,-0.09032315295007923,0.9768694549901384,0.8766597284516894
5,0.1,cross_tail_touch,57.77454075411128,True,True,0.001450715364166914,-0.9283314271297389,-0.2231035442292446,1.0150123402949636,1.743816281090478,-0.8476852844305208,0.23681231065247435,-2.4154112647081223,-0.28602774659835145,0.3716037254476526,2.6346202054674475,0.27494911388601345,-0.018383859912942873,-0.3340555475540702,0.24942909808092226,0.3993749143280285,1.8552230355100473e-06,0.2999990771017853,-7.963569473647114e-07,0.5999998482848066,-5.649023761006183e-08,-1.048510623695309e-06,-4.1690047842854903e-07,-0.11031198979344763,-0.3012399322436183,-0.21205021330498108,1.8215671052786693,-0.0903263889714727,0.9768694481027036,0.8766583616650166
6,0.16,cross_tail_touch,92.34879067102344,True,True,0.001959064589157127,-0.9282016112773795,-0.22305468138084875,1.0150525843268658,1.7438058564403192,-0.8476597336819945,0.2368032963390695,-2.415303512375364,-0.2860886542183623,0.3716192437685483,2.634545701702732,0.27506189807763937,-0.018369746360260453,-0.3341270382787054,0.24932426404851746,0.3992288951650826,-4.7612870150205624e-07,0.29999953747178515,-3.2035601193594475e-07,0.5999986327734879,-1.2143884028069948e-08,-6.952725011532288e-07,-2.7073307151675955e-08,-0.11032732515069789,-0.3012458148258588,-0.21205443807106397,1.8215664985767124,-0.09032322026310714,0.9768690409491628,0.8766595582255999
7,0.22,cross_tail_touch,126.80780571195803,True,True,0.002855140874133619,-0.9281277867161628,-0.22302618098757623,1.0151103558525942,1.7438028171149211,-0.8476606418176753,0.23680130317503104,-2.4152545361950346,-0.28610322588776976,0.3716349234455603,2.6345138018529055,0.2750381405903473,-0.0183698373460324,-0.3341925512744504,0.2492505996727721,0.3991617933138252,-1.2756818856389332e-06,0.2999999518089423,-7.337860967895082e-08,0.5999987040767377,-4.353591683620998e-09,-3.6082903294791983e-07,-5.404949734205993e-09,-0.11032084336155497,-0.30119736556439125,-0.21203848494856578,1.8215670103561046,-0.09032286987596033,0.9768691874488687,0.8766597048876333
8,0.28,cross_tail_touch,161.18581659620511,True,True,0.0022602223621061486,-0.9280828241388506,-0.2230064108788284,1.015159579502529,1.7438070192639723,-0.8476765722014592,0.23679928982533055,-2.41523066368976,-0.286097673492407,0.37165219589591103,2.634491780411729,0.27502476293977957,-0.01837250696269031,-0.33425067771994443,0.24919491931580154,0.39913001842497886,-1.4745769400690182e-06,0.29999996769685894,-5.2920566788586756e-08,0.5999989793439433,-3.124629393838812e-09,-2.2128227774207882e-07,-1.4345712976075441e-08,-0.11030141219609706,-0.30114203182536686,-0.21202074025015172,1.8215674627460148,-0.0903228189575198,0.9768693146239198,0.8766597364312743
9,0.34,cross_tail_touch,195.56314635309394,True,True,0.0023837951126396435,-0.9280546252654174,-0.22299049160222295,1.0152029543392633,1.7438162430110637,-0.84766987406251,0.2367996567947442,-2.4152160691250217,-0.28608277349077627,0.3716673754282542,2.634469538832252,0.27505352367924013,-0.018373619439543843,-0.33429940789484897,0.24915065720359952,0.39911459235330127,-1.2292437835670012e-06,0.29999994625468546,-5.975290656695051e-08,0.5999993847794578,-1.4970160661580938e-09,-1.1949159672245517e-07,-1.2601825838017302e-08,-0.11027624571326873,-0.3010903760627188,-0.21200505325030514,1.8215676118218562,-0.09032282706696253,0.9768693045804331,0.8766597175199685
